Index	VoiceGender	Category	FileName	SentenceHebrew	SentenceTranscription	SentenceRussian	Group	TargetWord
31	MALE	3-е лицо м.р. (הוא / דוד)	s_96d96009a641.mp3	דָּוִד בָּא אֶתְמוֹל לָאוּלְפָּן.	давӣ́д ба этмóль ла-ульпáн.	Давид пришёл вчера в ульпан.	Глаголы	לָבוֹא
32	MALE	2-е лицо м.р. (אתה יודע)	s_bc9b033910f6.mp3	מָה אַתָּה עוֹשֶׂה הַיּוֹם?	ма атá осэ́ hа-йом?	Что ты делаешь сегодня?	Глаголы	לַעֲשׂוֹת
33	FEMALE	Женская форма (адаптация 1/2 л.)	s_bc9b033910f6_f.mp3	מָה אַתְּ עוֹשָׂה הַיּוֹם?	ма ат оса́ hа-йом?	Что ты делаешь сегодня?	Глаголы	לַעֲשׂוֹת
34	FEMALE	Нейтральные / Безличные	s_2d896262efd5.mp3	עָשִׂיתִי שִׁעוּרֵי בַּיִת.	асӣ́ти шиурэ́й бáйит.	Я сделал домашнее задание.	Глаголы	לַעֲשׂוֹת
35	MALE	1-е лицо м.р. (אני רוצה)	s_ae79c0e63003.mp3	אֲנִי שׁוֹמֵעַ מוּזִיקָה.	анӣ шомéа мӯ́зика.	Я слушаю музыку.	Глаголы	לִשְׁמוֹעַ
36	FEMALE	Женская форма (адаптация 1/2 л.)	s_ae79c0e63003_f.mp3	אֲנִי שׁוֹמַעַת מוּזִיקָה.	анӣ шома́ат мӯ́зика.	Я слушаю музыку.	Глаголы	לִשְׁמוֹעַ
37	FEMALE	Нейтральные / Безличные	s_e3159308167e.mp3	שָׁמַעְתִּי אֶת הַשִּׁיר הַזֶּה.	шамáти эт hа-шир hа-зэ.	Я слышал эту песню.	Глаголы	לִשְׁמוֹעַ
38	MALE	3-е лицо м.р. (הוא / דוד)	s_a83fc20adc95.mp3	הוּא פּוֹגֵשׁ אֶת הַחֲבֵר.	hу погéш эт hа-хавéр.	Он встречает друга.	Глаголы	לִפְגּוֹשׁ
39	FEMALE	Нейтральные / Безличные	s_d5bf692e2513.mp3	פָּגַשְׁתִּי אוֹתוֹ בַּבֹּקֶר.	пагáшти отó ба-бóкер.	Я встретил его утром.	Глаголы	לִפְגּוֹשׁ
40	MALE	3-е лицо м.р. (הוא / דוד)	s_2bc00328324f.mp3	הוּא פּוֹתֵחַ אֶת הַדֶּלֶת.	hу потéах эт hа-дéлет.	Он открывает дверь.	Глаголы	לִפְתּוֹחַ
41	FEMALE	Нейтральные / Безличные	s_b8557def0a6a.mp3	פָּתַחְתִּי אֶת הַחַלּוֹן.	патáхти эт hа-халóн.	Я открыл окно.	Глаголы	לִפְתּוֹחַ
42	MALE	3-е лицо м.р. (הוא / דוד)	s_eac573c83a5f.mp3	הוּא סוֹגֵר אֶת הַחַלּוֹן.	hу согéр эт hа-халóн.	Он закрывает окно.	Глаголы	לִסְגּוֹר
43	FEMALE	Нейтральные / Безличные	s_ff23d5daab5a.mp3	סָגַרְתִּי אֶת הַדֶּלֶת.	сагáрти эт hа-дéлет.	Я закрыл дверь.	Глаголы	לִסְגּוֹר
44	FEMALE	Нейтральные / Безличные	s_7c1fc7f5afad.mp3	אֲנַחְנוּ יוֹשְׁבִים בְּבֵית קָפֶה.	анáхну йошвӣ́м бэ-вэ́йт кáфэ.	Мы сидим в кафе.	Глаголы	לָשֶׁבֶת
45	FEMALE	Нейтральные / Безличные	s_7f7a6a099ef0.mp3	יָשַׁבְתִּי עַל הַכִּסֵּא.	яшáвти аль hа-кисэ́.	Я сидел на стуле.	Глаголы	לָשֶׁבֶת
46	MALE	3-е лицо м.р. (הוא / דוד)	s_cb275df8b774.mp3	הוּא עוֹמֵד לְיַד הַתַּחֲנָה.	hу омéд лэ-яд hа-таханá.	Он стоит возле остановки.	Глаголы	לַעֲמוֹד
47	FEMALE	Нейтральные / Безличные	s_cf946eeba1d3.mp3	עָמַדְתִּי בַּתּוֹר בַּסּוּפֶּר.	амáдти ба-тор ба-сӯ́пер.	Я стоял в очереди в супермаркете.	Глаголы	לַעֲמוֹד
48	MALE	1-е лицо м.р. (אני רוצה)	s_70c378803429.mp3	אֲנִי לוֹקֵחַ תַּפּוּחַ וּמַיִם.	анӣ локéах тапӯ́ах у-мáйим.	Я беру яблоко и воду.	Глаголы	לָקַחַת
49	FEMALE	Женская форма (адаптация 1/2 л.)	s_70c378803429_f.mp3	אֲנִי לוֹקַחַת תַּפּוּחַ וּמַיִם.	анӣ лока́хат тапӯ́ах у-мáйим.	Я беру яблоко и воду.	Глаголы	לָקַחַת
50	FEMALE	Нейтральные / Безличные	s_2dec5903941d.mp3	לָקַחְתִּי אֶת הַמַּפְתֵּחַ.	лакáхти эт hа-мафтéах.	Я взял ключ.	Глаголы	לָקַחַת
51	FEMALE	3-е лицо ж.р. (היא / שרה)	s_74b534123bc3.mp3	הִיא נוֹתֶנֶת מַתָּנָה לַחֲבֵר.	hи нотéнет матанá ла-хавéр.	Она дарит подарок другу.	Глаголы	לָתֵת
52	FEMALE	Нейтральные / Безличные	s_31df35d6381c.mp3	נָתַתִּי לוֹ אֶת הַסֵּפֶר.	натáти ло эт hа-сéфер.	Я дал ему книгу.	Глаголы	לָתֵת
53	FEMALE	Нейтральные / Безличные	s_24ca1b3ac0df.mp3	הַתַּלְמִיד שׁוֹאֵל אֶת הַמּוֹרֶה.	hа-тальмӣ́д шоэ́ль эт hа-морé.	Ученик спрашивает учителя.	Глаголы	לִשְׁאוֹל
54	FEMALE	Нейтральные / Безличные	s_8092b96adebc.mp3	שָׁאַלְתִּי שְׁאֵלָה פְּשׁוּטָה.	шаáльти шеэлá пшутá.	Я задал простой вопрос.	Глаголы	לִשְׁאוֹל
55	FEMALE	3-е лицо ж.р. (היא / שרה)	s_b280408ead77.mp3	הַמּוֹרֶה עוֹנֶה לַתַּלְמִיד.	hа-морé онé ла-тальмӣ́д.	Учитель отвечает ученику.	Глаголы	לַעֲנוֹת
56	FEMALE	Нейтральные / Безличные	s_cfa2533ab7ff.mp3	עָנִיתִי עַל הַשְּׁאֵלָה.	анӣ́ти аль hа-шеэлá.	Я ответил на вопрос.	Глаголы	לַעֲנוֹת
57	MALE	3-е лицо м.р. (הוא / דוד)	s_b33becaa17e0.mp3	הוּא אוֹמֵר שָׁלוֹם וְתוֹדָה.	hу омéр шалóм вэ-тодá.	Он говорит привет и спасибо.	Глаголы	לוֹמַר
58	FEMALE	Нейтральные / Безличные	s_4ec9d05a86f8.mp3	אָמַרְתִּי לוֹ תּוֹדָה רַבָּה.	амáрти ло тодá рабá.	Я сказал ему большое спасибо.	Глаголы	לוֹמַר
59	MALE	3-е лицо м.р. (הוא / דוד)	s_ecd5d3ffc2ed.mp3	דָּוִד נוֹסֵעַ בָּאוֹטוֹבּוּס לָעֲבוֹדָה.	давӣ́д носéа ба-отóбус ла-аводá.	Давид едет на автобусе на работу.	Глаголы	לִנְסוֹעַ
60	FEMALE	Нейтральные / Безличные	s_54819a52eb53.mp3	אֶתְמוֹל נָסַעְתִּי בָּרַכֶּבֶת לְחֵיפָה.	этмóль насáъти ба-ракéвет ле-хейфá.	Вчера я ехал на поезде в Хайфу.	Глаголы	לִנְסוֹעַ
61	MALE	1-е лицо м.р. (אני רוצה)	s_c323e00f17a7.mp3	אֲנִי חוֹזֵר הַבַּיְתָה בָּעֶרֶב.	анӣ хозéр hабáйта ба-э́рев.	Я возвращаюсь домой вечером.	Глаголы	לַחֲזוֹר
62	FEMALE	Женская форма (адаптация 1/2 л.)	s_c323e00f17a7_f.mp3	אֲנִי חוֹזֶרֶת הַבַּיְתָה בָּעֶרֶב.	анӣ хозе́рет hабáйта ба-э́рев.	Я возвращаюсь домой вечером.	Глаголы	לַחֲזוֹר
63	MALE	3-е лицо м.р. (הוא / דוד)	s_e6e61210a8a3.mp3	הוּא חָזַר מֵהָעֲבוֹדָה עָיֵף.	hу хазáр ме-hа-аводá айéф.	Он вернулся с работы уставшим.	Глаголы	לַחֲזוֹר
64	FEMALE	Нейтральные / Безличные	s_0f2500234382.mp3	דָּנִי רָץ בַּפַּארְק בַּבֹּקֶר.	дáни рац ба-парк ба-бóкер.	Дани бегает в парке утром.	Глаголы	לָרוּץ
65	FEMALE	Нейтральные / Безличные	s_6884f7fbb6eb.mp3	אֶתְמוֹל רַצְתִּי חֲמִשָּׁה קִילוֹמֶטְרִים.	этмóль рáцти хамишá киломéтрим.	Вчера я пробежал пять километров.	Глаголы	לָרוּץ
66	MALE	1-е лицо м.р. (אני רוצה)	s_273f59d95e65.mp3	אֲנִי עוֹזֵר לַחֲבֵר בָּאוּלְפָּן.	анӣ озéр ла-хавéр ба-ульпáн.	Я помогаю другу в ульпане.	Глаголы	לַעֲזוֹר
67	FEMALE	Женская форма (адаптация 1/2 л.)	s_273f59d95e65_f.mp3	אֲנִי עוֹזֶרֶת לַחֲבֵר בָּאוּלְפָּן.	анӣ озе́рет ла-хавéр ба-ульпáн.	Я помогаю другу в ульпане.	Глаголы	לַעֲזוֹר
68	FEMALE	3-е лицо ж.р. (היא / שרה)	s_6954734e25cc.mp3	שָׂרָה עָזְרָה לְאִמָּא בַּבַּיִת.	сарá азрá ле-и́ма ба-бáйит.	Сара помогла маме по дому.	Глаголы	לַעֲזוֹר
69	MALE	1-е лицо м.р. (אני רוצה)	s_6a9612aca3ca.mp3	אֲנִי זוֹכֵר אֶת כָּל הַמִּלִּים.	анӣ зохéр эт коль hа-милӣ́м.	Я помню все слова.	Глаголы	לִזְכּוֹר
70	FEMALE	Женская форма (адаптация 1/2 л.)	s_6a9612aca3ca_f.mp3	אֲנִי זוֹכֶרֶת אֶת כָּל הַמִּלִּים.	анӣ зохе́рет эт коль hа-милӣ́м.	Я помню все слова.	Глаголы	לִזְכּוֹר
71	FEMALE	Нейтральные / Безличные	s_436805cb9962.mp3	זָכַרְתִּי אֶת מִסְפַּר הַטֶּלֶפוֹן.	захáрти эт миспáр hа-тéлефон.	Я вспомнил номер телефона.	Глаголы	לִזְכּוֹר
72	MALE	3-е лицо м.р. (הוא / דוד)	s_08a1a62770e2.mp3	הוּא שׁוֹכֵחַ אֶת הַמַּפְתֵּחוֹת שׁוּב.	hу шохéах эт hа-мафтехóт шув.	Он снова забывает ключи.	Глаголы	לִשְׁכּוֹחַ
73	FEMALE	Нейтральные / Безличные	s_6aa104fba7cc.mp3	שָׁכַחְתִּי אֶת הַתִּיק בַּבַּיִת.	шахáхти эт hа-тик ба-бáйит.	Я забыл сумку дома.	Глаголы	לִשְׁכּוֹחַ
74	MALE	1-е лицо м.р. (אני רוצה)	s_f2f74bfb6248.mp3	אֲנִי חוֹשֵׁב עַל הָעֲבוֹדָה.	анӣ хошéв аль hа-аводá.	Я думаю о работе.	Глаголы	לַחְשׁוֹב
75	FEMALE	Женская форма (адаптация 1/2 л.)	s_f2f74bfb6248_f.mp3	אֲנִי חוֹשֶׁבֶת עַל הָעֲבוֹדָה.	анӣ хоше́вет аль hа-аводá.	Я думаю о работе.	Глаголы	לַחְשׁוֹב
76	FEMALE	Нейтральные / Безличные	s_e93ce1703afb.mp3	אֶתְמוֹל חָשַׁבְתִּי עַל הָרַעְיוֹן.	этмóль хашáвти аль hа-раайóн.	Вчера я думал об этой идее.	Глаголы	לַחְשׁוֹב
77	MALE	3-е лицо м.р. (הוא / דוד)	s_b0d5f69360ac.mp3	דָּוִד מוֹצֵא אֶת הָרְחוֹב בְּקַלּוּת.	давӣ́д моцé эт hа-рехóв бе-калӯ́т.	Давид легко находит улицу.	Глаголы	לִמְצוֹא
78	FEMALE	Нейтральные / Безличные	s_53db33b7beda.mp3	מָצָאתִי עֲבוֹדָה טוֹבָה בָּעִיר.	мацáти аводá товá ба-ӣ́р.	Я нашёл хорошую работу в городе.	Глаголы	לִמְצוֹא
79	MALE	1-е лицо м.р. (אני רוצה)	s_52b13987ebf3.mp3	אֲנִי אוֹהֵב קָפֶה חָזָק בַּבֹּקֶר.	анӣ оhéв кáфэ хазáк ба-бóкер.	Я люблю крепкий кофе утром.	Глаголы	לֶאֱהוֹב
80	FEMALE	Женская форма (адаптация 1/2 л.)	s_52b13987ebf3_f.mp3	אֲנִי אוֹהֶבֶת קָפֶה חָזָק בַּבֹּקֶר.	анӣ оhе́вет кáфэ хазáк ба-бóкер.	Я люблю крепкий кофе утром.	Глаголы	לֶאֱהוֹב
81	FEMALE	Нейтральные / Безличные	s_e12155f574e3.mp3	אָהַבְתִּי אֶת הַסֶּפֶר הַזֶּה מְאֹד.	аháвти эт hа-сéфер hа-зэ меóд.	Мне очень понравилась эта книга.	Глаголы	לֶאֱהוֹב
82	MALE	3-е лицо м.р. (הוא / דוד)	s_bcb263cc8c69.mp3	הוּא שָׂם סוּכָּר בַּתֵּה שֶׁלּוֹ.	hу сам сукáр ба-тэ шелó.	Он кладёт сахар в свой чай.	Глаголы	לָשִׂים
83	FEMALE	Нейтральные / Безличные	s_369b6ff9c1d5.mp3	שַׂמְתִּי אֶת הַכֶּסֶף בַּתִּיק.	сáмти эт hа-кéсеф ба-тик.	Я положил деньги в сумку.	Глаголы	לָשִׂים
84	MALE	1-е лицо м.р. (אני רוצה)	s_00aadc6c77fe.mp3	אֲנִי קָם מוּקְדָּם בַּבֹּקֶר תָּמִיד.	анӣ кам мукдáм ба-бóкер тамӣ́д.	Я всегда встаю рано утром.	Глаголы	לָקוּם
85	FEMALE	Женская форма (адаптация 1/2 л.)	s_00aadc6c77fe_f.mp3	אֲנִי קָמָה מוּקְדָּם בַּבֹּקֶר תָּמִיד.	анӣ кама́ мукдáм ба-бóкер тамӣ́д.	Я всегда встаю рано утром.	Глаголы	לָקוּם
86	FEMALE	Нейтральные / Безличные	s_f0e41d86766c.mp3	הַיּוֹם קַמְתִּי בְּשָׁעָה שֶׁבַע.	hайóм кáмти бе-шаá шéва.	Сегодня я встал в семь часов.	Глаголы	לָקוּם
87	MALE	3-е лицо м.р. (הוא / דוד)	s_50772a2c3586.mp3	הַיֶּלֶד יָשֵׁן עַכְשָׁיו בַּחֶדֶר.	hа-йéлед яшéн ахшáв ба-хéдер.	Ребёнок сейчас спит в комнате.	Глаголы	לִישׁוֹן
88	FEMALE	Нейтральные / Безличные	s_78ea95389cf3.mp3	אֶתְמוֹל יָשַׁנְתִּי שְׁמוֹנֶה שָׁעוֹת טוֹבוֹת.	этмóль яшáнти шмóнэ шаóт товóт.	Вчера я спал восемь хороших часов.	Глаголы	לִישׁוֹן
89	FEMALE	Нейтральные / Безличные	s_33f5fe747e25.mp3	שַׂבָּא נָח בַּבַּיִת בַּצָּהֳרַיִם.	сáба нах ба-бáйит ба-цоhорáим.	Дедушка отдыхает дома днём.	Глаголы	לָנוּחַ
90	FEMALE	Нейтральные / Безличные	s_670ec3a14b58.mp3	בַּשַּׁבָּת נַחְנוּ כָּל הַיּוֹם.	ба-шабáт нáхну коль hа-йóм.	В субботу мы отдыхали весь день.	Глаголы	לָנוּחַ
91	FEMALE	Нейтральные / Безличные	s_54c6cdd34633.mp3	אֲנַחְנוּ טָסִים מָחָר לְאֵילַת.	анáхну тасӣ́м махáр ле-эйлáт.	Завтра мы летим в Эйлат.	Глаголы	לָטוּס
92	FEMALE	Нейтральные / Безличные	s_da99020d6517.mp3	בַּשָּׁנָה שֶׁעָבְרָה טַסְתִּי לְפָרִיז.	ба-шанá ше-аврá тáсти ле-парӣ́з.	В прошлом году я летал в Париж.	Глаголы	לָטוּס
93	FEMALE	Нейтральные / Безличные	s_671d85b2c927.mp3	הַסּוֹחֵר מוֹכֵר פֵּרוֹת בַּשּׁוּק.	hа-сохéр мохéр пейрóт ба-шук.	Торговец продаёт фрукты на рынке.	Глаголы	לִמְכּוֹר
94	MALE	3-е лицо м.р. (הוא / דוד)	s_6f2df88b1c74.mp3	דָּוִד מָכַר אֶת הַמְּכוֹנִית שֶׁלּוֹ.	давӣ́д махáр эт hа-мехонӣ́т шелó.	Давид продал свою машину.	Глаголы	לִמְכּוֹר
95	MALE	1-е лицо м.р. (אני רוצה)	s_7c50bda65931.mp3	אֲנִי בּוֹחֵר יְרָקוֹת טְרִיִּים בַּחֲנוּת.	анӣ бохéр йеракот терийӣ́м ба-ханӯ́т.	Я выбираю свежие овощи в магазине.	Глаголы	לִבְחוֹר
96	FEMALE	Женская форма (адаптация 1/2 л.)	s_7c50bda65931_f.mp3	אֲנִי בּוֹחֶרֶת יְרָקוֹת טְרִיִּים בַּחֲנוּת.	анӣ бохе́рет йеракот терийӣ́м ба-ханӯ́т.	Я выбираю свежие овощи в магазине.	Глаголы	לִבְחוֹר
97	FEMALE	Нейтральные / Безличные	s_4d38866ab8c7.mp3	בָּחַרְתִּי מָנָה טְעִימָה בַּמִּסְעָדָה.	бахáрти манá теимá ба-мисадá.	Я выбрал вкусное блюдо в ресторане.	Глаголы	לִבְחוֹר
98	FEMALE	Нейтральные / Безличные	s_677cb82bf6db.mp3	הָרוֹפֵא בּוֹדֵק אֶת הַחוֹלֶה הַיּוֹם.	hа-рофé бодéк эт hа-холé hайóм.	Врач осматривает больного сегодня.	Глаголы	לִבְדּוֹק
99	FEMALE	Нейтральные / Безличные	s_65e42516107a.mp3	בָּדַקְתִּי אֶת הַחֶשְׁבּוֹן בַּקְּפֵדָה.	бадáкти эт hа-хешбóн би-кфейдá.	Я тщательно проверил счёт.	Глаголы	לִבְדּוֹק
100	MALE	3-е лицо м.р. (הוא / דוד)	s_8fcca8a73bb1.mp3	הוּא שׁוֹמֵר עַל הַכֶּסֶף בַּבַּנְק.	hу шомéр аль hа-кéсеф ба-банк.	Он хранит деньги в банке.	Глаголы	לִשְׁמוֹר
101	FEMALE	Нейтральные / Безличные	s_41e2a883a070.mp3	שָׁמַרְתִּי לְךָ מָקוֹם טוֹב.	шамáрти лехá макóм тов.	Я занял для тебя хорошее место.	Глаголы	לִשְׁמוֹר
102	MALE	3-е лицо м.р. (הוא / דוד)	s_5899dcabc40d.mp3	דָּוִד עוֹבֵר לְדִירָה חֲדָשָׁה הַחֹדֶשׁ.	давӣ́д овéр ле-дирá хадашá hа-хóдеш.	Давид переезжает в новую квартиру в этом месяце.	Глаголы	לַעֲבוֹר
103	FEMALE	Нейтральные / Безличные	s_a739589dbb62.mp3	אֶתְמוֹל עָבַרְנוּ אֶת הַמִּבְחָן בְּהַצְלָחָה.	этмóль авáрну эт hа-мивхáн бе-hацлахá.	Вчера мы успешно сдали экзамен.	Глаголы	לַעֲבוֹר
104	FEMALE	Нейтральные / Безличные	s_c9a16f2df578.mp3	הָאוֹטוֹבּוּס עוֹצֵר בַּתַּחֲנָה הַקְּרוֹבָה.	hа-отóбус оцéр ба-таханá hа-кровá.	Автобус останавливается на ближайшей остановке.	Глаголы	לַעֲצוֹר
105	FEMALE	Нейтральные / Безличные	s_d5bea267778d.mp3	הַנַּהָג עָצַר בָּאוֹר הָאָדֹם.	hа-наháг ацáр ба-ор hа-адóм.	Водитель остановился на красный свет.	Глаголы	לַעֲצוֹר
106	MALE	1-е лицо м.р. (אני רוצה)	s_2da887c47d58.mp3	אֲנִי מְדַבֵּר עִם הַמּוֹרֶה עִבְרִית.	анӣ медабéр им hа-морé иврӣ́т.	Я говорю с учителем на иврите.	Глаголы	לְדַבֵּר
107	FEMALE	Женская форма (адаптация 1/2 л.)	s_2da887c47d58_f.mp3	אֲנִי מְדַבֶּרֶת עִם הַמּוֹרֶה עִבְרִית.	анӣ медабе́рет им hа-морé иврӣ́т.	Я говорю с учителем на иврите.	Глаголы	לְדַבֵּר
108	FEMALE	Нейтральные / Безличные	s_d0b96a868f44.mp3	אֶתְמוֹל דִּבַּרְתִּי עִם דָּוִד בַּטֶּלֶפוֹן.	этмóль дибáрти им давӣ́д ба-тéлефон.	Вчера я говорил с Давидом по телефону.	Глаголы	לְדַבֵּר
109	MALE	3-е лицо м.р. (הוא / דוד)	s_e9339fab4124.mp3	הוּא מְבַקֵּשׁ עֶזְרָה מֵהַחֲבֵר.	hу мевакéш эзрá ме-hа-хавéр.	Он просит помощи у друга.	Глаголы	לְבַקֵּשׁ
110	FEMALE	Нейтральные / Безличные	s_0e62d863c7c3.mp3	בִּקַּשְׁתִּי חֶשְׁבּוֹן בַּמִּסְעָדָה בְּנִימוּס.	бикáшти хешбóн ба-мисадá бе-нимӯ́с.	Я вежливо попросил счёт в ресторане.	Глаголы	לְבַקֵּשׁ
111	MALE	1-е лицо м.р. (אני רוצה)	s_5d3ab4add6ab.mp3	אֲנִי מְשַׁלֵּם בְּכַרְטִיס אַשְׁרַאי עַכְשָׁיו.	анӣ мешалéм бе-хартӣ́с ашрáй ахшáв.	Я сейчас плачу кредитной картой.	Глаголы	לְשַׁלֵּם
