Номер,Иврит с огласовками,Русский перевод,Категория,Имя аудиофайла,Рекомендуемый голос
68,"אָהַבְתִּי אֶת הַסֶּפֶר הַזֶּה מְאֹד.","Мне очень понравилась эта книга.","Глаголы","s_e12155f574e3.mp3","Женский"
69,"הוּא שָׂם סוּכָּר בַּתֵּה שֶׁלּוֹ.","Он кладёт сахар в свой чай.","Глаголы","s_bcb263cc8c69.mp3","Мужской"
70,"שַׂמְתִּי אֶת הַכֶּסֶף בַּתִּיק.","Я положил деньги в сумку.","Глаголы","s_369b6ff9c1d5.mp3","Женский"
71,"אֲנִי קָם מוּקְדָּם בַּבֹּקֶר תָּמִיד.","Я всегда встаю рано утром.","Глаголы","s_00aadc6c77fe.mp3","Мужской"
72,"הַיּוֹם קַמְתִּי בְּשָׁעָה שֶׁבַע.","Сегодня я встал в семь часов.","Глаголы","s_f0e41d86766c.mp3","Мужской"
73,"הַיֶּלֶד יָשֵׁן עַכְשָׁיו בַּחֶדֶר.","Ребёнок сейчас спит в комнате.","Глаголы","s_50772a2c3586.mp3","Мужской"
74,"אֶתְמוֹל יָשַׁנְתִּי שְׁמוֹנֶה שָׁעוֹת טוֹבוֹת.","Вчера я спал восемь хороших часов.","Глаголы","s_78ea95389cf3.mp3","Мужской"
75,"שַׂבָּא נָח בַּבַּיִת בַּצָּהֳרַיִם.","Дедушка отдыхает дома днём.","Глаголы","s_33f5fe747e25.mp3","Мужской"
76,"בַּשַּׁבָּת נַחְנוּ כָּל הַיּוֹם.","В субботу мы отдыхали весь день.","Глаголы","s_670ec3a14b58.mp3","Мужской"
77,"אֲנַחְנוּ טָסִים מָחָר לְאֵילַת.","Завтра мы летим в Эйлат.","Глаголы","s_54c6cdd34633.mp3","Мужской"
78,"בַּשָּׁנָה שֶׁעָבְרָה טַסְתִּי לְפָרִיז.","В прошлом году я летал в Париж.","Глаголы","s_da99020d6517.mp3","Мужской"
79,"הַסּוֹחֵר מוֹכֵר פֵּרוֹת בַּשּׁוּק.","Торговец продаёт фрукты на рынке.","Глаголы","s_671d85b2c927.mp3","Мужской"
80,"דָּוִד מָכַר אֶת הַמְּכוֹנִית שֶׁלּוֹ.","Давид продал свою машину.","Глаголы","s_6f2df88b1c74.mp3","Женский"
81,"אֲנִי בּוֹחֵר יְרָקוֹת טְרִיִּים בַּחֲנוּת.","Я выбираю свежие овощи в магазине.","Глаголы","s_7c50bda65931.mp3","Мужской"
82,"בָּחַרְתִּי מָנָה טְעִימָה בַּמִּסְעָדָה.","Я выбрал вкусное блюдо в ресторане.","Глаголы","s_4d38866ab8c7.mp3","Мужской"
83,"הָרוֹפֵא בּוֹדֵק אֶת הַחוֹלֶה הַיּוֹם.","Врач осматривает больного сегодня.","Глаголы","s_677cb82bf6db.mp3","Женский"
84,"בָּדַקְתִּי אֶת הַחֶשְׁבּוֹן בַּקְּפֵדָה.","Я тщательно проверил счёт.","Глаголы","s_65e42516107a.mp3","Женский"
85,"הוּא שׁוֹמֵר עַל הַכֶּסֶף בַּבַּנְק.","Он хранит деньги в банке.","Глаголы","s_8fcca8a73bb1.mp3","Мужской"
86,"שָׁמַרְתִּי לְךָ מָקוֹם טוֹב.","Я занял для тебя хорошее место.","Глаголы","s_41e2a883a070.mp3","Мужской"
87,"דָּוִד עוֹבֵר לְדִירָה חֲדָשָׁה הַחֹדֶשׁ.","Давид переезжает в новую квартиру в этом месяце.","Глаголы","s_5899dcabc40d.mp3","Мужской"
88,"אֶתְמוֹל עָבַרְנוּ אֶת הַמִּבְחָן בְּהַצְלָחָה.","Вчера мы успешно сдали экзамен.","Глаголы","s_a739589dbb62.mp3","Женский"
89,"הָאוֹטוֹבּוּס עוֹצֵר בַּתַּחֲנָה הַקְּרוֹבָה.","Автобус останавливается на ближайшей остановке.","Глаголы","s_c9a16f2df578.mp3","Мужской"
90,"הַנַּהָג עָצַר בָּאוֹר הָאָדֹם.","Водитель остановился на красный свет.","Глаголы","s_d5bea267778d.mp3","Мужской"
91,"אֲנִי מְדַבֵּר עִם הַמּוֹרֶה עִבְרִית.","Я говорю с учителем на иврите.","Глаголы","s_2da887c47d58.mp3","Мужской"
92,"אֶתְמוֹל דִּבַּרְתִּי עִם דָּוִד בַּטֶּלֶפוֹן.","Вчера я говорил с Давидом по телефону.","Глаголы","s_d0b96a868f44.mp3","Мужской"
93,"הוּא מְבַקֵּשׁ עֶזְרָה מֵהַחֲבֵר.","Он просит помощи у друга.","Глаголы","s_e9339fab4124.mp3","Мужской"
94,"בִּקַּשְׁתִּי חֶשְׁבּוֹן בַּמִּסְעָדָה בְּנִימוּס.","Я вежливо попросил счёт в ресторане.","Глаголы","s_0e62d863c7c3.mp3","Мужской"
95,"אֲנִי מְשַׁלֵּם בְּכַרְטִיס אַשְׁרַאי עַכְשָׁיו.","Я сейчас плачу кредитной картой.","Глаголы","s_5d3ab4add6ab.mp3","Мужской"
96,"שִׁילַּמְתִּי עַל הַקָּפֶה בַּבֹּקֶר.","Утром я заплатил за кофе.","Глаголы","s_32717f4452f3.mp3","Мужской"
97,"סַבָּא מְסַפֵּר סִפּוּר יָפֶה לַיְּלָדִים.","Дедушка рассказывает красивую историю детям.","Глаголы","s_4f480b57f7be.mp3","Мужской"
98,"סִפַּרְתִּי לַחֲבֵר עַל הַטִּיּוּל.","Я рассказал другу о поездке.","Глаголы","s_06ee99ea16e5.mp3","Мужской"
99,"אֲנַחְנוּ מְטַיְּלִים בִּירוּשָׁלַיִם הַיּוֹם בְּיַחַד.","Мы гуляем в Иерусалиме сегодня вместе.","Глаголы","s_f5c246ef1425.mp3","Мужской"
100,"בַּשַּׁבָּת טִיַּלְנוּ בַּפַּארְק הַלְּאוּמִּי.","В субботу мы гуляли в национальном парке.","Глаголы","s_8be15628f05d.mp3","Мужской"
101,"אֲנִי מְחַפֵּשׂ דִּירָה בְּתֵל-אָבִיב.","Я ищу квартиру в Тель-Авиве.","Глаголы","s_f9b9e926f51a.mp3","Мужской"
102,"חִפַּשְׂתִּי אֶת הַמַּפְתֵּחוֹת שָׁעָה שְׁלֵמָה.","Я искал ключи целый час.","Глаголы","s_2e275a0c452e.mp3","Женский"
103,"הִיא מְסַדֶּרֶת אֶת הַחֶדֶר יָפֶה.","Она красиво наводит порядок в комнате.","Глаголы","s_82445e8bbc97.mp3","Женский"
104,"אֶתְמוֹל סִדַּרְתִּי אֶת הָאֲרוֹן בַּבַּיִת.","Вчера я прибрал шкаф дома.","Глаголы","s_91f52600436d.mp3","Женский"
105,"אֲנִי מְקַבֵּל חֲבִילָה מֵהַדֹּאַר הַיּוֹם.","Я получаю посылку с почты сегодня.","Глаголы","s_a90f21bf6404.mp3","Мужской"
106,"קִבַּלְתִּי הוֹדָעָה חֲשׁוּבָה מֵהַבַּנְק.","Я получил важное сообщение из банка.","Глаголы","s_4fc26b8327ce.mp3","Мужской"
107,"הַמּוֹרֶה מְלַמֵּד עִבְרִית בָּאוּלְפָּן.","Учитель преподаёт иврит в ульпане.","Глаголы","s_f80ab423e8c9.mp3","Женский"
108,"שָׁנָה שְׁלֵמָה לִמַּדְתִּי בְּבֵית-סֵפֶר.","Целый год я преподавал в школе.","Глаголы","s_05d09414affe.mp3","Мужской"
109,"הַיְּלָדִים מְשַׂחֲקִים בַּכַּדּוּר בַּחֲצַר.","Дети играют в мяч во дворе.","Глаголы","s_6d2cdc7bf6e0.mp3","Мужской"
110,"אֶתְמוֹל שִׂחַקְנוּ שַׁחְמָט בַּבַּיִת.","Вчера мы играли в шахматы дома.","Глаголы","s_3a66420fdc59.mp3","Мужской"
111,"אֲנִי מְבַשֵּׁל מָרָק טָעִים בַּמִּטְבָּח.","Я готовлю вкусный суп на кухне.","Глаголы","s_30c3fd844b22.mp3","Мужской"
112,"אִמָּא בִּשְּׁלָה אֲרוּחַת עֶרֶב נִפְלָאָה.","Мама приготовила чудесный ужин.","Глаголы","s_a2597ad18a03.mp3","Женский"
113,"דָּוִד מְנַקֶּה אֶת הַשּׁוּלְחָן בַּסָּלוֹן.","Давид вытирает стол в гостиной.","Глаголы","s_f3b5825f7cbd.mp3","Женский"
114,"אֶתְמוֹל נִקִּיתִי אֶת כָּל הַדִּירָה.","Вчера я убрал всю квартиру.","Глаголы","s_d35f0b1f6e87.mp3","Женский"
115,"הַיַּלְדָּה מְצַיֶּרֶת פְּרָחִים בְּצִבְעוֹנִיּוּת.","Девочка красочно рисует цветы.","Глаголы","s_d969ad1dca28.mp3","Женский"
116,"צִיַּרְתִּי תְּמוּנָה יָפָה עַל נְיָר.","Я нарисовал красивую картину на бумаге.","Глаголы","s_459ba73cca56.mp3","Мужской"
117,"אֲנִי מְצַלֵּם אֶת הַנּוֹף הַיָּפֶה.","Я фотографирую красивый вид.","Глаголы","s_0f662b1090cc.mp3","Мужской"
118,"אֶתְמוֹל צִלַּמְתִּי הַרְבֵּה תְּמוּנוֹת בַּיָּם.","Вчера я сделал много фотографий на море.","Глаголы","s_5bce89fe4cbf.mp3","Мужской"
119,"אֲנַחְנוּ מְבַקְּרִים אֵצֶל סַבָּא בָּעֶרֶב.","Мы навещаем дедушку вечером.","Глаголы","s_1c02136c8b55.mp3","Мужской"
120,"בַּשַּׁבָּת בִּקַּרְתִּי בַּמּוּזֵאוֹן בִּירוּשָׁלַיִם.","В субботу я посетил музей в Иерусалиме.","Глаголы","s_df64471f6c32.mp3","Мужской"
121,"אָסוּר לְעַשֵּׁן בַּמָּקוֹם הַצִּבּוּרִי הַזֶּה.","Запрещено курить в этом общественном месте.","Глаголы","s_160366f4363c.mp3","Мужской"
122,"בֶּעָבָר הוּא עִשֵּׁן סִיגַרְיוֹת הַרְבֵּה.","В прошлом он курил много сигарет.","Глаголы","s_9303873956db.mp3","Мужской"
123,"הַטֶּכְנַאי מְתַקֵּן אֶת הַמַּחְשֵׁב הַיּוֹם.","Техник чинит компьютер сегодня.","Глаголы","s_2fa362f76149.mp3","Женский"
124,"תִּקַּנְתִּי אֶת הַטָּעוּת בַּמִּכְתָּב.","Я исправил ошибку в письме.","Глаголы","s_459cea7c4b87.mp3","Женский"
125,"אַבָּא מְבָרֵךְ עַל הַיַּיִן בְּשַׁבָּת.","Папа благословляет вино в субботу.","Глаголы","s_4470e4b2bf5a.mp3","Мужской"
126,"בֵּרַכְתִּי אֶת הֶחָבֵר לְיוֹם-הוּלֶּדֶת.","Я поздравил друга с днём рождения.","Глаголы","s_1a9c6f4063bc.mp3","Женский"
127,"אֲנִי מְחַכֶּה לָאוֹטוֹבּוּס בַּתַּחֲנָה הַמֶּרְכָּזִית.","Я жду автобус на центральной станции.","Глаголы","s_cdae8f0dd8e0.mp3","Мужской"
128,"חִכִּיתִי לְךָ עֶשְׂרִים דַּקּוֹת שְׁלֵמוֹת.","Я ждал тебя целых двадцать минут.","Глаголы","s_fa92d087f3ef.mp3","Мужской"
129,"אֲנִי מְקַוֶּוה לְטוֹב תָּמִיד בַּחַיִּים.","Я всегда надеюсь на лучшее в жизни.","Глаголы","s_9f8356494e8f.mp3","Мужской"
130,"קִוִּיתִי לִפְגּוֹשׁ אוֹתְךָ הַיּוֹם כָּאן.","Я надеялся встретить тебя сегодня здесь.","Глаголы","s_3aeb3a6c5c0d.mp3","Мужской"
131,"הוּא מְשַׁנֶּה אֶת הַתּוֹכְנִית שֶׁלּוֹ.","Он меняет свой план.","Глаголы","s_9a74f19b9395.mp3","Женский"
132,"שִׁנִּיתִי אֶת הַסִּסְמָה שֶׁלִּי בַּמַּחְשֵׁב.","Я сменил свой пароль на компьютере.","Глаголы","s_e3f2906b0aa2.mp3","Женский"
133,"אֲנִי מְנַסֶּה לְדַבֵּר עִבְרִית.","Я стараюсь говорить на иврите каждый день.","Глаголы","s_6519d6e7a4d4.mp3","Мужской"
134,"אֶתְמוֹל נִסִּיתִי מָנָה חֲדָשָׁה בַּמִּסְעָדָה.","Вчера я попробовал новое блюдо в ресторане.","Глаголы","s_be0d4a72c26d.mp3","Мужской"
135,"אֲנִי מְאַחֵל לְךָ הַצְלָחָה רַבָּה.","Я желаю тебе больших успехов.","Глаголы","s_6df14efe373d.mp3","Мужской"
136,"אִחַלְנוּ חַג שָׂמֵחַ לְכָל הַמִּשְׁפָּחָה.","Мы пожелали весёлого праздника всей семье.","Глаголы","s_992c7aaa31d1.mp3","Мужской"
137,"הִיא מְסַיֶּמֶת אֶת הָעֲבוֹדָה בַּזְּמַן.","Она вовремя заканчивает работу.","Глаголы","s_b998a70d5bc1.mp3","Женский"
138,"סִיַּמְתִּי אֶת הַקּוּרְס בְּהַצְלָחָה גְּדוֹלָה.","Я с большим успехом окончил курс.","Глаголы","s_d072ef71634f.mp3","Женский"
139,"דָּוִד מְאַרְגֵּן מְסִבָּה יָפָה בָּעֶרֶב.","Давид организует хорошую вечеринку вечером.","Глаголы","s_0d2bd44599f0.mp3","Мужской"
140,"אִרְגַּנְתִּי אֶת הַמִּסְמָכִים שֶׁלִּי הַיּוֹם.","Я привёл в порядок свои документы сегодня.","Глаголы","s_29656a26b9f5.mp3","Женский"
141,"אֲנִי מַרְגִּישׁ מְצוּיָּן הַיּוֹם בַּבֹּקֶר.","Я чувствую себя отлично сегодня утром.","Глаголы","s_baf43caddbc8.mp3","Мужской"
142,"אֶתְמוֹל הִרְגַּשְׁתִּי עָיֵף מְאֹד בָּעֶרֶב.","Вчера вечером я чувствовал себя очень уставшим.","Глаголы","s_24664f5f29c6.mp3","Мужской"
143,"אֲנִי מַזְמִין פִּיצָה חַמָּה לַבַּיִת.","Я заказываю горячую пиццу на дом.","Глаголы","s_2c06af4aaf7d.mp3","Мужской"
144,"הִזְמַנְתִּי מָקוֹם טוֹב בַּמִּסְעָדָה מֵרֹאשׁ.","Я заранее забронировал хорошее место в ресторане.","Глаголы","s_ef0aed297da7.mp3","Мужской"
145,"הַשִּׁעוּר שֶׁלָּנוּ מַתְחִיל בְּשָׁעָה תֵּשַׁע.","Наш урок начинается в девять часов.","Глаголы","s_0f8f333d88cf.mp3","Мужской"
146,"הִתְחַלְתִּי לַעֲבוֹד בַּמִּשְׂרָד הֶחָדָשׁ.","Я начал работать в новом офисе.","Глаголы","s_64402affcdc5.mp3","Мужской"
147,"הָרַכֶּבֶת מַגִּיעָה בִּזְמַן לַתַּחֲנָה עַכְשָׁיו.","Поезд сейчас прибывает вовремя на станцию.","Глаголы","s_1f2ef4a84153.mp3","Мужской"
148,"הִגַּעְתִּי לָאוּלְפָּן בַּבֹּקֶר בְּשָׁלוֹם.","Я благополучно добрался утром до ульпана.","Глаголы","s_b4ac3be8812e.mp3","Мужской"
149,"אֲנִי מֵבִין אֶת הַשְּׁאֵלָה הֵיטֵב.","Я хорошо понимаю вопрос.","Глаголы","s_22036e84a524.mp3","Мужской"
150,"לֹא הֵבַנְתִּי אֶת הַמִּלָּה הַזֹּאת.","Я не понял это слово.","Глаголы","s_7ff9e1b864e6.mp3","Женский"
151,"אֲנִי מַכִּיר אֶת הָאִישׁ הַזֶּה.","Я знаю этого человека.","Глаголы","s_cd8af1314aab.mp3","Мужской"
152,"הִכַּרְתִּי אוֹתוֹ בָּאוּלְפָּן בַּקַּיִץ.","Я познакомился с ним в ульпане летом.","Глаголы","s_51bcc3ebb10e.mp3","Мужской"
153,"הַמּוֹרֶה מַסְבִּיר אֶת הַכְּלָל בְּבֵרוּר.","Учитель ясно объясняет правило.","Глаголы","s_efe87a9d3cc0.mp3","Женский"
154,"הִסְבַּרְתִּי לַחֲבֵר אֶת הַדֶּרֶךְ.","Я объяснил другу дорогу.","Глаголы","s_70f079ffed18.mp3","Женский"
155,"הַתַּלְמִיד מַקְשִׁיב לַמּוֹרֶה בַּכִּתָּה בְּקֶשֶׁב.","Ученик внимательно слушает учителя в классе.","Глаголы","s_604d8f8a58c5.mp3","Мужской"
156,"הִקְשַׁבְתִּי לַחֲדָשׁוֹת בָּרַדְיוֹ בַּבֹּקֶר.","Утром я послушал новости по радио.","Глаголы","s_4ecba55826fe.mp3","Мужской"
157,"אֲנַחְנוּ מַמְשִׁיכִים לִלְמוֹד עִבְרִית בְּשִׂמְחָה.","Мы с радостью продолжаем учить иврит.","Глаголы","s_5bd945f81a61.mp3","Мужской"
158,"הִמְשַׁכְתִּי יָשָׁר עַד הָרַמְזוֹר.","Я продолжил прямо до светофора.","Глаголы","s_bc2f74063648.mp3","Мужской"
159,"הַמְּנַהֵל מַחְלִיט עַל הַתּוֹכְנִית הַיּוֹם.","Директор сегодня принимает решение по плану.","Глаголы","s_f5fc2ee8daec.mp3","Мужской"
160,"הֶחְלַטְתִּי לִנְסוֹעַ לִירוּשָׁלַיִם מָחָר.","Я решил завтра поехать в Иерусалим.","Глаголы","s_d3be7938e7a2.mp3","Мужской"
161,"דָּוִד מֵבִיא עוּגָה טְעִימָה לַמְּסִבָּה.","Давид приносит вкусный пирог на вечеринку.","Глаголы","s_0facc876fb93.mp3","Мужской"
162,"הֵבֵאתִי מַתָּנָה יָפָה מִפָּרִיז.","Я привёз красивый подарок из Парижа.","Глаголы","s_e3d22abd57e7.mp3","Мужской"
163,"אֲנִי מַדְלִיק אֶת הָאוֹר בַּחֶדֶר.","Я включаю свет в комнате.","Глаголы","s_b1b621344a82.mp3","Мужской"
164,"אֶתְמוֹל הִדְלַקְתִּי אֶת הַמַּזְגָן בַּבַּיִת.","Вчера я включил дома кондиционер.","Глаголы","s_342c2e70fe9f.mp3","Женский"
165,"הִיא מְכַבָּה אֶת הָאוֹר בַּלַּיְלָה.","Она выключает свет ночью.","Глаголы","s_61814061d761.mp3","Женский"
166,"כִּבִּיתִי אֶת הַטֶּלֶוִיזְיָה לִפְנֵי הַשֵּׁנָה.","Я выключил телевизор перед сном.","Глаголы","s_ad267bc41679.mp3","Женский"
