Index	FileName	SentenceHebrew	Transcription	Russian
48	s_6519d6e7a4d4.mp3	אֲנִי מְנַסֶּה לְדַבֵּר עִבְרִית.	анӣ менасé ледабéр иврӣ́т.	Я стараюсь говорить на иврите каждый день.
49	s_6df14efe373d.mp3	אֲנִי מְאַחֵל לְךָ הַצְלָחָה רַבָּה.	анӣ меахéль лехá hацлахá рабá.	Я желаю тебе больших успехов.
50	s_0d2bd44599f0.mp3	דָּוִד מְאַרְגֵּן מְסִבָּה יָפָה בָּעֶרֶב.	давӣ́д меаргéн месибá яфá ба-э́рев.	Давид организует хорошую вечеринку вечером.
51	s_baf43caddbc8.mp3	אֲנִי מַרְגִּישׁ מְצוּיָּן הַיּוֹם בַּבֹּקֶר.	анӣ маргӣ́ш мецуйáн hайóм ба-бóкер.	Я чувствую себя отлично сегодня утром.
52	s_2c06af4aaf7d.mp3	אֲנִי מַזְמִין פִּיצָה חַמָּה לַבַּיִת.	анӣ мазмӣ́н пӣ́ца хамá ла-бáйит.	Я заказываю горячую пиццу на дом.
53	s_22036e84a524.mp3	אֲנִי מֵבִין אֶת הַשְּׁאֵלָה הֵיטֵב.	анӣ мевӣ́н эт hа-шеэлá hейтéв.	Я хорошо понимаю вопрос.
54	s_cd8af1314aab.mp3	אֲנִי מַכִּיר אֶת הָאִישׁ הַזֶּה.	анӣ макӣ́р эт hа-иш hа-зэ.	Я знаю этого человека.
55	s_0facc876fb93.mp3	דָּוִד מֵבִיא עוּגָה טְעִימָה לַמְּסִבָּה.	давӣ́д мевӣ́ угá теимá ла-месибá.	Давид приносит вкусный пирог на вечеринку.
56	s_b1b621344a82.mp3	אֲנִי מַדְלִיק אֶת הָאוֹר בַּחֶדֶר.	анӣ мадлӣ́к эт hа-ор ба-хéдер.	Я включаю свет в комнате.
57	s_7af48f922782.mp3	אֲנִי מַעֲדִיף תֵּה עַל קָפֶה.	анӣ маадӣ́ф тэ аль кáфэ.	Я предпочитаю чай кофе.
58	s_9caef0e37c6e.mp3	אֲנִי מַסְכִּים עִם כָּל מִלָּה.	анӣ маскӣ́м им коль милá.	Я согласен с каждым словом.
59	s_4bb2599119f6.mp3	דָּוִד מִתְרַחֵץ בַּמַּיִם חַמִּים בַּבֹּקֶר.	давӣ́д митрахéц ба-мáйим хамӣ́м ба-бóкер.	Давид моется тёплой водой утром.
60	s_924c149a3046.mp3	הַיֶּלֶד מִתְלַבֵּשׁ לְבַד יָפֶה מְאֹד.	hа-йéлед митлабéш левáд яфé меóд.	Ребёнок очень хорошо одевается сам.
61	s_63c9d63f5dd0.mp3	אֲנִי מִתְרַגֵּשׁ מֵהַפְּגִישָׁה הַחֲדָשָׁה הַיּוֹם.	анӣ митрагéш ме-hа-пгишá hа-хадашá hайóм.	Я волнуюсь из-за новой встречи сегодня.
62	s_49d9dd7f7512.mp3	אֲנִי מִשְׁתַּמֵּשׁ בַּמַּחְשֵׁב בָּעֲבוֹדָה תָּמִיד.	анӣ миштамéш ба-махшéв ба-аводá тамӣ́д.	Я всегда пользуюсь компьютером на работе.
63	s_adff542c8478.mp3	דָּוִד הִתְחַתֵּן עִם שָׂרָה.	давӣ́д hитхатéн им сарá.	Давид женился на Саре.
64	s_d90a52c46128.mp3	אֲנִי מִצְטַעֵר עַל הַטָּעוּת הַזֹּאת.	анӣ мицтаэ́р аль hа-таӯ́т hа-зот.	Я сожалею об этой ошибке.
65	s_d9c35f2bbba9.mp3	אֲנִי מִתְקַשֵּׁר לְאִמָּא בָּעֶרֶב.	анӣ миткашéр ле-и́ма коль йом ба-э́рев.	Я звоню маме вечером.
66	s_62b0d6f8bf88.mp3	אֲנִי מִתְרַגֵּל לַמֶּזֶג הָאֲוִיר בָּאָרֶץ.	анӣ митрагéль ла-мéзег hа-авӣ́р ба-áрец.	Я привыкаю к погоде в Израиле.
67	s_e3d9d081bfa7.mp3	אֲנִי נִשְׁאָר בַּבַּיִת הַיּוֹם בָּעֶרֶב.	анӣ ниш’áр ба-бáйит hайóм ба-э́рев.	Я остаюсь дома сегодня вечером.
68	s_61b76af1a310.mp3	הוּא נִזְהָר מְאֹד בַּכְּבִישׁ הַסּוֹאֵן.	hу низháр меóд ба-квӣ́ш hа-соэ́н.	Он очень осторожен на оживлённой дороге.
69	s_910ff739814a.mp3	אֲנִי נִזְכָּר בַּסִּפּוּר הַיָּפֶה עַכְשָׁיו.	анӣ низкáр ба-сипӯ́р hа-яфé ахшáв.	Я сейчас вспоминаю красивую историю.
70	s_15c39e20757b.mp3	אֲנִי מַסְפִּיק לָרַכֶּבֶת בַּבֹּקֶר תָּמִיד.	анӣ маспӣ́к ла-ракéвет ба-бóкер тамӣ́д.	Я всегда утром успеваю на поезд.
71	s_417081c4b247.mp3	הוּא מַשְׁקִיעַ בַּעֲסָקִים חֲדָשִׁים בָּאָרֶץ.	hу машкӣ́а бе-асакӣ́м хадашӣ́м ба-áрец.	Он инвестирует в новые бизнесы в стране.
72	s_cee4a05fe8fb.mp3	אֲנִי מַצִּיעַ פִּתָּרוֹן חָכָם לַבְּעָיָה.	анӣ мацӣ́а питарóн хахáм ла-беайá.	Я предлагаю умное решение проблемы.
73	s_98662a60ad5a.mp3	אֲנִי מַבְטִיחַ לַעֲזוֹר לְךָ תָּמִיד.	анӣ мавтӣ́ах лаазóр лехá тамӣ́д.	Я обещаю всегда помогать тебе.
74	s_d375e8d83026.mp3	הוּא מִתְנַדֵּב בְּמָדָ״א כָּל שָׁבוּעַ.	hу митнадéв бе-мадá коль шавӯ́а.	Он волонтёрит в скорой помощи каждую неделю.
75	s_d91c6335fd20.mp3	הַיֶּלֶד מִתְנַהֵג יָפֶה מְאֹד בַּכִּתָּה.	hа-йéлед митнаhéг яфé меóд ба-китá.	Ребёнок очень хорошо ведёт себя в классе.
76	s_0e3abe883b9a.mp3	הוּא מְטַפֵּל בַּסָּבָא הַיּוֹם.	hу метапéль ба-сáба hайóм.	Он ухаживает за дедушкой сегодня.
77	s_115a524a166b.mp3	הוּא שׁוֹטֵף אֶת הָרִצְפָּה כָּעֵת.	hу шотéф эт hа-рицпá ка-э́т.	Он моет пол сейчас.
78	s_d21d6a89297b.mp3	הוּא מַלְבִּישׁ אֶת הַמְּטוּפָּל בִּזְהִירוּת.	hу мальбӣ́ш эт hа-метупáль бизhирӯ́т.	Он осторожно одевает подопечного.
79	s_0b01f08e2289.mp3	הוּא מַאֲכִיל אֶת הַסָּבָא בְּמָרָק.	hу маахӣ́ль эт hа-сáба бэ-марáк.	Он кормит дедушку супом.
80	s_a275dad37b65.mp3	הוּא מַשְׁקֶה אוֹתוֹ בְּמַיִם קָרִים.	hу машкé отó бэ-мáйим карӣ́м.	Он поит его холодной водой.
81	s_04cfe0981726.mp3	הוּא מַשְׁכִּיב אֶת הַחוֹלֶה בַּמִּטָּה.	hу машкӣ́в эт hа-холé ба-митá.	Он укладывает больного в постель.
82	s_6956a2c93fd1.mp3	הוּא מַעֲמִיד אוֹתוֹ עַל הָרַגְלַיִם.	hу маамӣ́д отó аль hа-раглáим.	Он ставит его на ноги.
83	s_67718614aafd.mp3	הוּא תּוֹמֵךְ בּוֹ בִּזְמַן הַהֲלִיכָה.	hу томéх бо бизмáн hа-hалихá.	Он поддерживает его во время ходьбы.
84	s_d8158e40996f.mp3	הוּא מְחַמֵּם אֶת הָאוֹכֶל בַּמִּיקְרוֹגַל.	hу мехамéм эт hа-óхель ба-микрогáль.	Он греет еду в микроволновке.
85	s_f5c303c4c772.mp3	הוּא מוֹדֵד לָהּ לַחַץ דָּם.	hу модéд ла лáхац дам.	Он измеряет ей давление.
86	s_b054c4ef91da.mp3	הוּא מַרְגִּיעַ אֶת הַחוֹלֶה הַמְּבֹהָל.	hу маргӣ́а эт hа-холé hа-мевоháль.	Он успокаивает испуганного больного.
87	s_ff72a66854a5.mp3	הוּא מַחֲזִיר הַכֹּל לַמָּקוֹם.	hу махазӣ́р hа-коль ла-макóм.	Он возвращает всё на место.
88	s_28575072ec16.mp3	הוּא מְדַוֵּחַ עַל הַמַּצָּב לָאָחוֹת.	hу медавéах аль hа-мацáв ла-ахóт.	Он докладывает о состоянии медсестре.
89	s_3c7f1f9491cf.mp3	הוּא מְעוֹדֵד אֶת הַסָּבָא תָּמִיד.	hу меодéд эт hа-сáба тамӣ́д.	Он всегда подбадривает дедушку.
90	s_231976ccbdda.mp3	הוּא מְלַוֶּה אֶת הַקָּשִׁישׁ לַבַּנְק.	hу мелавé эт hа-кашӣ́ш ла-банк.	Он сопровождает пожилого человека в банк.
91	s_e5afa2bf35b2.mp3	הוּא מְנַחֵם אֶת הַחָבֵר הֶעָצוּב.	hу менахéм эт hа-хавéр hе-ацӯ́в.	Он утешает грустного друга.
92	s_db99b31e5d4f.mp3	הַיֶּלֶד גּוֹזֵר נְיָר בְּמִסְפָּרַיִם.	hа-йéлед гозéр нейáр бэ-миспарáим.	Ребёнок режет бумагу ножницами.
93	s_e737d4a0a4f2.mp3	יוֹסִי מַרְכִּיב פָּאזֶל גָּדוֹל הַיּוֹם.	йосӣ́ маркӣ́в пáзель гадóль hайóм.	Йоси собирает большой пазл сегодня.
94	s_da3399175be3.mp3	הַיֶּלֶד שׁוֹכֵב עַל הַמִּזְרָן.	hа-йéлед шохéв аль hа-мизрáн.	Ребёнок лежит на матрасе.
95	s_81cf2b3de226.mp3	הוּא נוֹעֵל נַעֲלַיִם לְבַד הַיּוֹם.	hу ноэ́ль наалáим левáд hайóм.	Он надевает обувь сам сегодня.
96	s_584b8ab94a1b.mp3	הוּא מַפְנֶה אוֹתִי לִבְדִיקוֹת.	hу мафнé отӣ́ ли-вдикóт.	Он направляет меня на анализы.
97	s_611e9cbb4c35.mp3	הוּא חוֹבֵשׁ אֶת הַיָּד הַפְּצוּעָה.	hу ховéш эт hа-яд hа-пцуá.	Он перевязывает раненую руку.
98	s_ae03f281f077.mp3	הוּא מַרְדִּים לִפְנֵי הַנִּתּוּחַ.	hу мардӣ́м лифнéй hа-нитӯ́ах.	Он даёт наркоз перед операцией.
99	s_481bc01c727b.mp3	הוּא מַחְלִים מֵהַמַּחֲלָה בְּקָרוֹב.	hу махлӣ́м ме-hа-махалá бэ-карóв.	Он скоро поправляется от болезни.
100	s_28004ff8cabe.mp3	הוּא מִשְׁתַּעֵל בְּלִי הַפְסָקָה הַיּוֹם.	hу миштаэ́ль бли hафсакá hайóм.	Он кашляет без перерыва сегодня.
101	s_da365aa30b45.mp3	הַיֶּלֶד מֵקִיא מֵהַרְעָלַת קֵבָה.	hа-йéлед мекӣ́ ме-hаральáт кевá.	Ребёнка рвёт от отравления.
102	s_26318dd6ff20.mp3	הוּא נוֹשֵׁם עָמֹק בַּבְּדִיקָה.	hу ношéм амóк ба-бдикá.	Он глубоко дышит на осмотре.
103	s_15542855ea12.mp3	הוּא בּוֹלֵעַ כַּדּוּר עִם מַיִם.	hу болéа кадӯ́р им мáйим.	Он глотает таблетку с водой.
104	s_2dc1ec53bcdf.mp3	הוּא מְמַשֵּׁשׁ אֶת הַבֶּטֶן.	hу мемашéш эт hа-бéтен.	Он пальпирует живот.
105	s_9727483ecf4a.mp3	הוּא סוֹבֵל מִכְּאֵב רֹאשׁ.	hу совéль ми-кеэ́в рош.	Он страдает от головной боли.
106	s_2e126197c55e.mp3	הוּא מֵפִיק חֶשְׁבּוֹנִית מַס מְהִירָה.	hу мефӣ́к хешбонӣ́т мас меhирá.	Он генерирует налоговую квитанцию быстро.
107	s_4c872cb80394.mp3	הוּא מְקַזֵּז אֶת הַמַּס הַחֹדֶשׁ.	hу меказéз эт hа-мас hа-хóдеш.	Он делает взаимозачёт налога в этом месяце.
108	s_14058c4804a7.mp3	הוּא מַפְקִיד כֶּסֶף בַּבַּנְק כָּעֵת.	hу мафкӣ́д кéсеф ба-банк ка-э́т.	Он вносит деньги в банк сейчас.
109	s_85ac96a6c330.mp3	הוּא מוֹשֵׁךְ כֶּסֶף מֵהַכַּסְפּוֹמָט.	hу мошéх кéсеф ме-hа-каспомáт.	Он снимает деньги из банкомата.
110	s_97ac2ad5c2dc.mp3	הוּא מַעֲבִיר כֶּסֶף לַסַּפָּק.	hу маавӣ́р кéсеф ла-сапáк.	Он переводит деньги поставщику.
111	s_3f7e6b894048.mp3	הוּא מְנַהֵל סִפְרֵי חֶשְׁבּוֹנוֹת.	hу менаhéль сифрéй хешбонóт.	Он ведёт бухгалтерские книги.
112	s_3f49588ec823.mp3	הוּא עוֹקֵב אַחַר כָּל הוֹצָאָה.	hу окéв áхар коль hоцаá.	Он отслеживает каждый расход.
113	s_b93267e63ddb.mp3	הוּא פּוֹרֵס לְתַשְׁלוּמִים שְׁוִוים.	hу порéс ле-ташлумӣ́м шавӣ́м.	Он разбивает на равные платежи.
114	s_3e7a7fb53213.mp3	הוּא מְבַטֵּל חֶשְׁבּוֹנִית שְׁגוּיָה כָּעֵת.	hу меватéль хешбонӣ́т шгуйá ка-э́т.	Он аннулирует ошибочный счёт сейчас.
115	s_33aa4f056c4a.mp3	הוּא מַפְחִית אֶת עֵרֶךְ הַצִיּוּד.	hу мафхӣ́т эт э́рех hа-цийӯ́д.	Он уменьшает стоимость оборудования.
116	s_cf098f0564bb.mp3	הוּא מַגִּישׁ דּוּ״חַ לְמַס הַכְנָסָה.	hу магӣ́ш дӯ́ах ле-мас hахнасá.	Он подаёт отчёт в налоговую.
117	s_0943c2cb37d4.mp3	הוּא מַסְדִּיר אֶת הַתַּשְׁלוּם הַיּוֹם.	hу масдӣ́р эт hа-ташлӯ́м hайóм.	Он урегулирует платёж сегодня.
118	s_17f2e3a3a7b0.mp3	הוּא מֵנִיעַ אֶת הָרֶכֶב בַּבֹּקֶר.	hу менӣ́а эт hа-рéхев ба-бóкер.	Он заводит машину утром.
119	s_b424d8ce1825.mp3	הוּא מְשַׁמֵּן אֶת הַחֲלָקִים.	hу мешамéн эт hа-халакӣ́м.	Он смазывает детали.
120	s_2b10c10ef44d.mp3	הוּא מְכַוֵּן פָּרָמֶטְרִים בַּמַּחְשֵׁב.	hу мехавéн парамéтрим ба-махшéв.	Он настраивает параметры в компьютере.
121	s_6eac59238ea1.mp3	הוּא מְנַקֵּז אֶת שֶׁמֶן הַבְּלָמִים.	hу менакéз эт шéмен hа-бламӣ́м.	Он сливает тормозную жидкость.
122	s_c4acec8ed2d3.mp3	הוּא מְמַלֵּא דֶּלֶק בַּתַּחֲנָה.	hу немалé дéлек ба-таханá.	Он заливает бензин на заправке.
123	s_c1ba8e18510f.mp3	הוּא מַטְעִין אֶת הַמַּצְבֵּר.	hу матъӣ́н эт hа-мацбéр.	Он заряжает аккумулятор.
124	s_8266cbfaf881.mp3	הוּא מְחַבֵּר אֶת הַכְּבָלִים.	hу мехабéр эт hа-квалӣ́м.	Он подключает провода.
125	s_248d8c07d750.mp3	הוּא מְנַתֵּק אֶת הַזֶּרֶם.	hу менатéк эт hа-зéрем.	Он отключает ток.
126	s_f1f84c39a032.mp3	הוּא מַהְדֵּק אֶת הַבְּרָגִים.	hу маhдéк эт hа-брагӣ́м.	Он затягивает винты.
127	s_d09c46330bcb.mp3	הוּא פּוֹנֶה יָמִינָה בָּרַמְזוֹר.	hу понé ямӣ́на ба-рамзóр.	Он поворачивает направо на светофоре.
128	s_131ffe8c27b7.mp3	הוּא אוֹטֵם אֶת הַחִבּוּר בְּסִילִיקוֹן.	hу отéм эт hа-хибӯ́р бэ-силӣ́кон.	Он герметизирует стык силиконом.
129	s_46093e3b888e.mp3	הוּא מְפַתֵּחַ מַפְתֵּחַ עִנְיָנִים.	hу мефатéах мафтéах иньянӣ́м.	Он составляет предметный указатель.
130	s_43526f0504d2.mp3	הוּא מַאֲרִיךְ אֶת הַהַשְׁאָלָה.	hу маарӣ́х эт hа-hашъалá.	Он продлевает выдачу.
131	s_9415bdd375bb.mp3	הוּא מְאַתֵּר אֶת הַסֵּפֶר בַּמַּדָּף.	hу меатéр эт hа-сéфер ба-мадáф.	Он находит книгу на полке.
132	s_2e794cda478d.mp3	הוּא מְשַׁקֵּם דַּף קָרוּעַ בִּזְהִירוּת.	hу мешакéм даф карӯ́а бизhирӯ́т.	Он осторожно реставрирует порванную страницу.
133	s_2e908c91bdf4.mp3	הוּא סוֹרֵק תְּמוּנוֹת הִיסְטוֹרִיּוֹת.	hу сорéк тмунóт hисторӣ́ёт.	Он сканирует исторические фотографии.
134	s_8fd4c41d8d10.mp3	הוּא גּוֹנֵז מִסְמָכִים בְּאַכְסַנְיָה.	hу гонéз мисмахӣ́м бэ-ахсаньйá.	Он архивирует документы в хранилище.
135	s_f85ac7f996ef.mp3	הוּא כּוֹרֵךְ סֵפֶר בִּכְרִיכָה קָשָׁה.	hу корéх сéфер би-хрихá кашá.	Он переплетает книгу в твёрдый переплёт.
136	s_35b9a809898b.mp3	הוּא מְתַעֵד כָּל תְּנוּעָה בָּאוֹסֶף.	hу метаэ́д коль тнуá ба-óсеф.	Он документирует каждое перемещение в фонде.
137	s_5f471f6302dc.mp3	הוּא שׁוֹלֵף תִּיק מֵהַמַּחְשֵׁב.	hу шолéф тик ме-hа-махшéв.	Он извлекает дело из компьютера.
138	s_bc5d8f95a363.mp3	הוּא מְסַוֵּג אֶת הַחוֹמֶר.	hу месавéг эт hа-хóмер.	Он классифицирует материал.
139	s_7da8b8f873e9.mp3	הוּא מַנְפִּיק כַּרְטִיס קוֹרֵא לַתַּלְמִיד.	hу манпӣ́к картӣ́с корé ла-тальмӣ́д.	Он оформляет читательский билет ученику.
140	s_b4a9b2e97f26.mp3	הוּא מַדְפִּיס דַּף בַּמַּדְפֶּסֶת.	hу мадпӣ́с даф ба-мадпéсет.	Он распечатывает лист на принтере.
141	s_4960a3138199.mp3	הוּא מַקְצִיף אֶת כָּל הָרֶכֶב.	hу макцӣ́ф эт коль hа-рéхев.	Он покрывает пеной всю машину.
142	s_b57d3738b79a.mp3	הוּא מְנַגֵּב חַלּוֹנוֹת בְּמַטְלִית.	hу менагéв халонóт бэ-матлӣ́т.	Он вытирает стёкла салфеткой.
143	s_5a4aecbd730b.mp3	הוּא שׁוֹאֵב אֶת הַשָּׁטִיחַ בָּרֶכֶב.	hу шоэ́в эт hа-шатӣ́ах ба-рéхев.	Он пылесосит коврик в машине.
144	s_669f15601640.mp3	הוּא מַבְרִיק אֶת הָרֶכֶב.	hу маврӣ́к эт hа-рéхев.	Он начищает до блеска машину.
145	s_1c254411d34a.mp3	הוּא מוֹרֵחַ וַקְס עַל הַמִּכְסֶה.	hу морéах вакс аль hа-михсé.	Он наносит воск на капот.
146	s_9cf00fdff86f.mp3	הוּא מְיַבֵּשׁ אֶת הָרֶכֶב בַּאֲוִויר.	hу меябéш эт hа-рéхев ба-авӣ́р.	Он сушит машину воздухом.
147	s_58f47cb66c3f.mp3	הוּא מְרַסֵּס חוֹמֶר עַל הַגַּלְגַּלִּים.	hу мерасéс хóмер аль hа-гальгальӣ́м.	Он распыляет средство на колёса.
148	s_e4d571df2a3b.mp3	הוּא מְקַרְצֵף אֶת הַלִּכְלוּךְ בְּמִבְרֶשֶׁת.	hу мекарцéф эт hа-лихлӯ́х бэ-миврéшет.	Он оттирает грязь щёткой.
149	s_4790bf491cd3.mp3	הוּא מַתִּיז מַיִם בְּלַחַץ גָּבוֹהַּ.	hу матӣ́з мáйим бэ-лáхац гавóах.	Он подаёт струю воды под высоким давлением.
